gsi_id,fish_id,collection,mixture_collection,id_source,pbt_brood_year,pbt_brood_collection,repunit_1,prob_1,repunit_2,prob_2,repunit_3,prob_3,repunit_4,prob_4,repunit_5," prob_5",top_collection,top_collection_prob,file_name
301_2020_2021_2824,N2824,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.423010000000005,SWVI,0.57699,,,,,,,CONUMA_RIVER,97.08681,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2825,N2825,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.999880000000005,SWVI,1.2E-4,,,,,,,CONUMA_RIVER,86.337630000000004,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2826,N2826,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SPS,99.95111,NPS,4.8890000000000003E-2,,,,,,,SOOS_CREEK,99.941019999999995,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2827,N2827,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.990830000000003,SWVI,9.1699999999999993E-3,,,,,,,CONUMA_RIVER,75.737369999999999,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2828,N2828,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2829,N2829,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.991820000000004,SWVI,8.1799999999999998E-3,,,,,,,CONUMA_RIVER,68.937939999999998,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2830,N2830,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.999849999999995,SWVI,1.4999999999999999E-4,,,,,,,CONUMA_RIVER,96.670739999999995,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2918,N2918,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,NITINAT_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2919,N2919,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.999979999999994,SWVI,2.0000000000000002E-5,,,,,,,CONUMA_RIVER,96.324420000000003,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2920,N2920,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,99.999949999999998,SWVI,5.0000000000000002E-5,,,,,,,CONUMA_RIVER,96.405060000000006,2020-21 Microtrol GSI Results_PID20210046.xlsx
